Threshold,No Unk,Unk,UNK-ing,UNK-ly,UNK-ion,UNK-al
1,0.950125551995844,0.95107801541259,0.95116460299593,0.951510953329293,0.951510953329293,0.951684128495974
2,0.950125551995844,0.95107801541259,0.950645077495887,0.950991427829249,0.950991427829249,0.951251190579271
3,0.950125551995844,0.95107801541259,0.950991427829249,0.951337778162611,0.951337778162611,0.951597540912633
4,0.950125551995844,0.949952376829163,0.949865789245822,0.950212139579184,0.950212139579184,0.950385314745865
5,0.950125551995844,0.949952376829163,0.950038964412503,0.950385314745865,0.950385314745865,0.950645077495887
